"Year","Year_num","Location","Parameter","Time","Group","Manip1","Manip2","Metric","Value"
2013-01-01,2013,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0904788732394365
2014-01-01,2014,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0315331991951711
2015-01-01,2015,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0669295774647888
2016-01-01,2016,"Austria","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0802736418511066
1990-01-01,1990,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0
1991-01-01,1991,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0255425612381452
1992-01-01,1992,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0182779343191282
1993-01-01,1993,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.00943404067858602
1994-01-01,1994,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0374701809507185
1995-01-01,1995,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0469374693497578
1996-01-01,1996,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0763700138809234
1997-01-01,1997,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0306959579083859
1998-01-01,1998,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0824377228636262
1999-01-01,1999,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.036655611799616
2000-01-01,2000,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0534124629080119
2001-01-01,2001,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0480097083343723
2002-01-01,2002,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0546093808443259
2003-01-01,2003,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.066212835282481
2004-01-01,2004,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.0706181582425256
2005-01-01,2005,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.04449376189645
2006-01-01,2006,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.02989801261751
2007-01-01,2007,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",0.00155433093118551
2008-01-01,2008,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",-0.000881064592008865
2009-01-01,2009,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",-0.104447713803622
2010-01-01,2010,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",-0.0477769742912001
2011-01-01,2011,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",-0.12686498931917
2012-01-01,2012,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",-0.148617310425654
2013-01-01,2013,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",-0.146580887547897
2014-01-01,2014,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",-0.195313733802126
2015-01-01,2015,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",-0.1606529852297
2016-01-01,2016,"Belgium","CO2",1990,"0 2 0 4 0","Growth","Absolute","Growth_CO2_90s",-0.170411191182705
1990-01-01,1990,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0
1991-01-01,1991,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.0498112806336719
1992-01-01,1992,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.0553931210461965
1993-01-01,1993,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.103479105552361
1994-01-01,1994,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.157306411625693
1995-01-01,1995,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.235176709952107
1996-01-01,1996,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.358948584242295
1997-01-01,1997,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.433324795453337
1998-01-01,1998,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.489969601925372
1999-01-01,1999,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.528515713726495
2000-01-01,2000,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.566907177135235
2001-01-01,2001,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.609247007311969
2002-01-01,2002,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.582415511233756
2003-01-01,2003,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.534440680259616
2004-01-01,2004,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.612571947748175
2005-01-01,2005,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.653220311133235
2006-01-01,2006,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.652543724416565
2007-01-01,2007,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.724904673764384
2008-01-01,2008,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.838116962512263
2009-01-01,2009,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.740234195659213
2010-01-01,2010,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.987425152594469
2011-01-01,2011,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",1.07788962937546
2012-01-01,2012,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",1.22354425118765
2013-01-01,2013,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",1.3924444594797
2014-01-01,2014,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",1.53185515244949
2015-01-01,2015,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",1.39325153077745
2016-01-01,2016,"Brazil","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",1.31220127488268
1990-01-01,1990,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",0
1991-01-01,1991,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.201645393029896
1992-01-01,1992,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.256704781027132
1993-01-01,1993,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.248021486590438
1994-01-01,1994,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.268777950168842
1995-01-01,1995,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.247499967405051
1996-01-01,1996,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.242389079388258
1997-01-01,1997,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.271685419627375
1998-01-01,1998,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.305401634962646
1999-01-01,1999,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.395428884340083
2000-01-01,2000,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.409314332651012
2001-01-01,2001,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.360956466186
2002-01-01,2002,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.396876100079532
2003-01-01,2003,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.341451648652525
2004-01-01,2004,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.353694311529485
2005-01-01,2005,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.339548103625862
2006-01-01,2006,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.323394046858499
2007-01-01,2007,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.273249977183536
2008-01-01,2008,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.294906061356732
2009-01-01,2009,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.403199520202349
2010-01-01,2010,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.375963180745512
2011-01-01,2011,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.30666631898721
2012-01-01,2012,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.369626722643059
2013-01-01,2013,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.443930168581077
2014-01-01,2014,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.411087497881328
2015-01-01,2015,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.371647609486434
2016-01-01,2016,"Bulgaria","CO2",1990,"0 0 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.408675471648913
1990-01-01,1990,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0
1991-01-01,1991,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",-0.020821566832642
1992-01-01,1992,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.0106466544186861
1993-01-01,1993,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.0114451535000876
1994-01-01,1994,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.0439715483308339
1995-01-01,1995,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.0709841879870249
1996-01-01,1996,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.105211450779781
1997-01-01,1997,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.135619334497541
1998-01-01,1998,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.154772492680425
1999-01-01,1999,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.189207495071594
2000-01-01,2000,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.238132334452098
2001-01-01,2001,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.222517241304691
2002-01-01,2002,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.235282406836364
2003-01-01,2003,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.270626269970592
2004-01-01,2004,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.267434437599136
2005-01-01,2005,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.247376746581493
2006-01-01,2006,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.235509622022129
2007-01-01,2007,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.285866999050024
2008-01-01,2008,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.245543877416325
2009-01-01,2009,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.174053324158168
2010-01-01,2010,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.202184728109981
2011-01-01,2011,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.226401539004191
2012-01-01,2012,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.232884745638009
2013-01-01,2013,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.247145203487428
2014-01-01,2014,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.246312081139625
2015-01-01,2015,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.24623634274437
2016-01-01,2016,"Canada","CO2",1990,"1 2 0 4 5","Growth","Absolute","Growth_CO2_90s",0.220541551165614
1990-01-01,1990,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0
1991-01-01,1991,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.0530685481418404
1992-01-01,1992,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.0206800072988261
1993-01-01,1993,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0418770147801229
1994-01-01,1994,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.147740405084849
1995-01-01,1995,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.249619852807007
1996-01-01,1996,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.448452040630132
1997-01-01,1997,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.686332948117511
1998-01-01,1998,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.727601727388845
1999-01-01,1999,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.852290006690591
2000-01-01,2000,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.767349917888206
2001-01-01,2001,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.598929505504532
2002-01-01,2002,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.657137643695639
2003-01-01,2003,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.669119883218782
2004-01-01,2004,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.795724104373213
2005-01-01,2005,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.853506477708169
2006-01-01,2006,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.945502098412505
2007-01-01,2007,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",1.1503254059972
2008-01-01,2008,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",1.15373152484642
2009-01-01,2009,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",1.00474423696855
2010-01-01,2010,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",1.16927194209598
2011-01-01,2011,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",1.37467307341403
2012-01-01,2012,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",1.42394014962594
2013-01-01,2013,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",1.48439875919956
2014-01-01,2014,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",1.35457088984855
2015-01-01,2015,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",1.48260446444863
2016-01-01,2016,"Chile","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",1.55927255033149
1990-01-01,1990,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0
1991-01-01,1991,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.0484309041391051
1992-01-01,1992,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.0960029973698657
1993-01-01,1993,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.171434189431627
1994-01-01,1994,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.243496232013612
1995-01-01,1995,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.348757367949044
1996-01-01,1996,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.407948813382744
1997-01-01,1997,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.410510788011677
1998-01-01,1998,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.349106840786206
1999-01-01,1999,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.34589796962891
2000-01-01,2000,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.383555113642701
2001-01-01,2001,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.415300548705401
2002-01-01,2002,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.562481901561846
2003-01-01,2003,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",0.839197881351906
2004-01-01,2004,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",1.11744765859395
2005-01-01,2005,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",1.38400290153334
2006-01-01,2006,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",1.63457409960141
2007-01-01,2007,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",1.8345101535078
2008-01-01,2008,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",2.04660587932282
2009-01-01,2009,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",2.20507570052574
2010-01-01,2010,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",2.51147621705155
2011-01-01,2011,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",2.87815666710316
2012-01-01,2012,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",2.97965250172568
2013-01-01,2013,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",3.0468322517989
2014-01-01,2014,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",3.05667738906613
2015-01-01,2015,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",3.0000185889807
2016-01-01,2016,"China","CO2",1990,"1 0 3 0 5","Growth","Absolute","Growth_CO2_90s",2.94603453667379
1990-01-01,1990,"Colombia","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0
1991-01-01,1991,"Colombia","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.00428837568983092
1992-01-01,1992,"Colombia","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0807937010088227
1993-01-01,1993,"Colombia","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.11318499771521
1994-01-01,1994,"Colombia","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.173872543850399
1995-01-01,1995,"Colombia","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0329888572533304
1996-01-01,1996,"Colombia","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.0504938662167387
1997-01-01,1997,"Colombia","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.133554782241907
1998-01-01,1998,"Colombia","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",0.145172062286899
1999-01-01,1999,"Colombia","CO2",1990,"0 2 0 0 0","Growth","Absolute","Growth_CO2_90s",-0.0375584379064291
